Source title,CiteScore,Highest percentile,2018-21 Citations,2018-21 Documents,% Cited,SNIP,SJR,Publisher
Papeles del Psicologo,2.1,"45.0%
115/209
General Psychology",211,102,60,0.641,0.366,Consejo General de Colegios Oficiales de Psicologos
Psychological Record,2.1,"66.0%
126/376
Arts and Humanities (miscellaneous)",384,183,63,0.989,0.508,Springer Nature
Revista de Psicologia Clinica con Ninos y Adolescentes,2.1,"51.0%
143/292
Clinical Psychology",170,81,52,0.941,0.4,Aitana Research Group
Revista de Psicologia del Deporte,2.1,"41.0%
135/230
Applied Psychology",463,217,56,0.59,0.276,Universitat de les Illes Balears
Revista de Psicopatologia y Psicologia Clinica,2.1,"51.0%
142/292
Clinical Psychology",166,79,53,0.763,0.405,Asociacion Espanola de Psicologia Clinica y Psicopatologia
South African Journal of Psychology,2.1,"46.0%
112/209
General Psychology",367,172,65,0.687,0.346,SAGE
Spirituality in Clinical Practice,2.1,"83.0%
3/15
Complementary and Manual Therapy",174,84,60,1.009,0.477,APA
Sport Psychologist,2.1,"41.0%
136/230
Applied Psychology",258,122,57,0.746,0.413,Human Kinetics Publishers Inc.
Studies in Bilingualism,2.1,"84.0%
159/1032
Linguistics and Language",194,94,47,N/A,N/A,John Benjamins Publishing Company
Advances in Motivation and Achievement,2,"43.0%
168/296
Social Psychology",53,26,42,N/A,N/A,Emerald Publishing
Coaching,2,"43.0%
167/296
Social Psychology",98,48,65,1.235,0.305,Taylor & Francis
Cogent Psychology,2,"44.0%
117/209
General Psychology",670,335,61,0.842,0.356,Cogent OA
Estudos de Psicologia (Campinas),2,"44.0%
116/209
General Psychology",294,146,50,0.83,0.369,Pontificia Universidade Catolica de Campinas
"European Journal of Investigation in Health, Psychology and Education",2,"50.0%
146/292
Clinical Psychology",459,227,55,0.864,0.337,Multidisciplinary Digital Publishing Institute (MDPI)
Experimental Psychology,2,"65.0%
132/376
Arts and Humanities (miscellaneous)",281,142,57,0.713,0.489,Hogrefe Publishing
Fat Studies,2,"91.0%
101/1127
Cultural Studies",181,90,61,1.19,0.505,Taylor & Francis
i-com,2,"69.0%
142/467
Communication",170,83,54,0.563,0.266,Walter de Gruyter
International Journal of Cognitive Therapy,2,"27.0%
109/150
Experimental and Cognitive Psychology",225,115,63,0.818,0.493,springer nature
International Journal of Human Rights in Healthcare,2,"70.0%
401/1345
Sociology and Political Science",262,131,62,0.707,0.261,Emerald Publishing
Intervention in School and Clinic,2,"57.0%
592/1406
Education",350,178,55,1.253,0.554,SAGE
Journal of Addictive Diseases,2,"49.0%
147/292
Clinical Psychology",311,155,59,0.717,0.471,Taylor & Francis
Journal of Early Childhood Research,2,"58.0%
590/1406
Education",243,123,59,1.28,0.501,SAGE
Journal of Public Child Welfare,2,"70.0%
393/1345
Sociology and Political Science",241,119,66,1.011,0.575,Taylor & Francis
Kolner Zeitschrift fur Soziologie und Sozialpsychologie,2,"70.0%
400/1345
Sociology and Political Science",339,169,60,0.678,0.376,Springer Nature
"Mental Health, Religion and Culture",2,"49.0%
148/292
Clinical Psychology",563,283,71,1.034,0.528,Taylor & Francis
Network Science,2,"69.0%
413/1345
Sociology and Political Science",193,98,57,1.162,0.541,Cambridge University Press
Peabody Journal of Education,2,"59.0%
573/1406
Education",303,149,56,0.79,0.609,Taylor & Francis
Perception,2,"47.0%
65/124
Ophthalmology",605,300,55,0.676,0.458,SAGE
Personal Relationships,2,"82.0%
77/443
Anthropology",324,159,60,0.966,0.542,Wiley-Blackwell
Psicologia Educativa,2,"41.0%
172/296
Social Psychology",144,72,67,0.854,0.345,Colegio Oficial de Psicólogos de Madrid
PsyCh Journal,2,"42.0%
120/209
General Psychology",450,229,57,0.731,0.456,Wiley-Blackwell
Psychologische Rundschau,2,"43.0%
118/209
General Psychology",109,55,58,0.965,0.507,Hogrefe Publishing
Psyecology,2,"53.0%
62/133
Environmental Science (miscellaneous)",125,61,67,0.57,0.326,Taylor & Francis
Sleep and Biological Rhythms,2,"30.0%
118/170
Neurology",376,187,59,0.512,0.375,Springer Nature
Soccer and Society,2,"90.0%
103/1127
Cultural Studies",542,275,59,0.887,0.388,Taylor & Francis
Studies in American Humor,2,"98.0%
10/934
Literature and Literary Theory",102,52,69,1.539,0.325,Penn State University Press
Suma Psicologica,2,"41.0%
122/209
General Psychology",125,64,56,0.711,0.413,Konrad Lorenz Fundacion Universitaria
Teaching of Psychology,2,"57.0%
595/1406
Education",331,169,60,1.104,0.42,SAGE
World Leisure Journal,2,"90.0%
102/1127
Cultural Studies",203,102,67,0.637,0.409,Taylor & Francis
Zeitschrift fur Padagogische Psychologie,2,"40.0%
202/341
Developmental and Educational Psychology",134,67,61,0.866,0.536,Verlag Hans Huber AG
Cuadernos de Psicologia del Deporte,1.9,"38.0%
143/230
Applied Psychology",441,230,62,0.565,0.286,University of Murcia
Giornale Italiano di Psicopatologia,1.9,"48.0%
151/292
Clinical Psychology",246,132,51,0.298,0.359,Pacini Editore Srl
International Journal for the Advancement of Counselling,1.9,"55.0%
623/1406
Education",261,140,57,1.005,0.484,Springer Nature
International Journal of Education and Practice,1.9,"55.0%
628/1406
Education",321,173,48,0.616,0.212,Conscientia Beam
Journal of Cultural Cognitive Science,1.9,"82.0%
178/1032
Linguistics and Language",135,72,69,0.826,0.594,Springer Nature
Journal of Evidence-Based Social Work (United States),1.9,"68.0%
423/1345
Sociology and Political Science",283,148,59,0.932,0.439,Taylor & Francis
Journal of Family Psychotherapy,1.9,"48.0%
152/292
Clinical Psychology",80,43,74,1.123,0.26,Taylor & Francis
"Journal of Family Trauma, Child Custody and Child Development",1.9,"79.0%
165/801
Law",165,85,46,0.726,0.304,Taylor & Francis
Journal of General Psychology,1.9,"66.0%
59/173
Gender Studies",178,93,62,0.624,0.406,Taylor & Francis
Journal of Theoretical and Philosophical Psychology,1.9,"88.0%
82/718
Philosophy",114,59,54,1.064,0.244,APA
Nordic Psychology,1.9,"40.0%
124/209
General Psychology",158,83,61,0.968,0.36,Taylor & Francis
PPmP Psychotherapie Psychosomatik Medizinische Psychologie,1.9,"48.0%
150/292
Clinical Psychology",404,216,57,0.533,0.344,Thieme
Psihologija,1.9,"40.0%
125/209
General Psychology",184,98,61,0.49,0.269,Drustvo Psihologija Srbije
"Psychiatry, Psychology and Law",1.9,"77.0%
177/801
Law",351,186,64,0.754,0.366,Taylor & Francis
Public Culture,1.9,"67.0%
152/467
Communication",194,102,56,1.579,0.382,Duke University Press
Theory and Decision,1.9,"67.0%
86/260
General Economics, Econometrics and Finance",347,187,51,0.984,0.488,Springer Nature
Archive for the Psychology of Religion,1.8,"96.0%
17/547
Religious Studies",101,57,58,0.892,0.337,Brill
Art Therapy,1.8,"63.0%
6/15
Complementary and Manual Therapy",169,93,58,1.357,0.53,Taylor & Francis
Beyond Behavior,1.8,"54.0%
643/1406
Education",120,67,54,0.695,0.435,SAGE
British Journal of Guidance and Counselling,1.8,"60.0%
148/376
Arts and Humanities (miscellaneous)",433,240,57,0.743,0.286,Taylor & Francis
Conflict Resolution Quarterly,1.8,"76.0%
188/801
Law",139,77,53,0.773,0.404,Wiley-Blackwell
Contemporary Family Therapy,1.8,"88.0%
125/1127
Cultural Studies",256,145,62,0.813,0.306,Springer Nature
Emotional and Behavioural Difficulties,1.8,"47.0%
155/292
Clinical Psychology",199,111,50,0.903,0.43,Taylor & Francis
European Journal of Behavior Analysis,1.8,"54.0%
635/1406
Education",97,53,66,0.941,0.477,Taylor & Francis
Gifted Child Today,1.8,"55.0%
631/1406
Education",166,90,51,0.758,0.521,SAGE
Humor,1.8,"82.0%
166/968
Language and Linguistics",207,115,63,0.918,0.436,Walter de Gruyter
Journal of Applied School Psychology,1.8,"53.0%
650/1406
Education",126,71,59,0.878,0.476,Taylor & Francis
Journal of Child and Adolescent Substance Abuse,1.8,"53.0%
654/1406
Education",177,101,48,0.552,0.294,Taylor & Francis
Journal of Cognitive Psychology,1.8,"25.0%
112/150
Experimental and Cognitive Psychology",446,252,59,0.646,0.441,Taylor & Francis
Journal of Couple and Relationship Therapy,1.8,"66.0%
145/426
Social Sciences (miscellaneous)",128,73,63,0.975,0.378,Taylor & Francis
Journal of Forensic Psychiatry and Psychology,1.8,"47.0%
154/292
Clinical Psychology",409,227,58,0.83,0.401,Taylor & Francis
Journal of Personnel Psychology,1.8,"37.0%
133/213
Organizational Behavior and Human Resource Management",145,81,64,0.576,0.566,Hogrefe Publishing
Journal of Spirituality in Mental Health,1.8,"97.0%
16/547
Religious Studies",127,71,69,0.571,0.295,Taylor & Francis
Life Span and Disability,1.8,"46.0%
173/323
Health (social science)",100,56,36,0.214,0.183,Citta Aperta Edizioni
Music Therapy Perspectives,1.8,"92.0%
12/153
Music",177,98,54,0.881,0.364,Oxford University Press
Social Anthropology,1.8,"79.0%
93/443
Anthropology",344,188,57,1.451,0.463,Wiley-Blackwell
Social Behavior and Personality,1.8,"38.0%
182/296
Social Psychology",1149,651,55,0.652,0.384,Society for Personality Research
Bulletin of the Menninger Clinic,1.7,"57.0%
17/39
Psychiatric Mental Health",142,85,60,0.485,0.378,Guilford Press
Child Language Teaching and Therapy,1.7,"82.0%
173/968
Language and Linguistics",117,67,54,0.84,0.382,SAGE
Cognitive and Behavioral Neurology,1.7,"38.0%
326/529
Psychiatry and Mental Health",202,120,53,0.576,0.364,Wolters Kluwer Health
Community Psychology in Global Perspective.,1.7,"44.0%
180/323
Health (social science)",90,53,58,1.136,0.46,University of Salento
Diagnostica,1.7,"45.0%
159/292
Clinical Psychology",133,79,48,0.662,0.365,Hogrefe Publishing
Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide,1.7,"88.0%
129/1127
Cultural Studies",99,58,52,0.661,0.422,Taylor & Francis
Education and Treatment of Children,1.7,"52.0%
668/1406
Education",165,96,50,0.935,0.471,Pressley Ridge School
Educational Psychology in Practice,1.7,"35.0%
220/341
Developmental and Educational Psychology",174,105,55,0.944,0.434,Taylor & Francis
Infants and Young Children,1.7,"44.0%
167/298
Pediatrics, Perinatology and Child Health",132,77,66,0.847,0.396,Wolters Kluwer Health
Integration of Education,1.7,"52.0%
666/1406
Education",275,159,58,0.664,0.237,National Research Ogarev Mordovia State University
International Journal of Social Psychology,1.7,"37.0%
186/296
Social Psychology",154,90,58,0.656,0.376,Taylor & Francis
Journal of Criminal Psychology,1.7,"74.0%
204/801
Law",131,78,50,0.49,0.318,Emerald Publishing
Journal of Numerical Cognition,1.7,"39.0%
357/590
Applied Mathematics",104,63,65,1.149,0.669,PsychOpen
Journal of Relationships Research,1.7,"36.0%
189/296
Social Psychology",37,22,45,0.533,0.237,Cambridge University Press
Journal of Workplace Behavioral Health,1.7,"33.0%
377/562
Public Health, Environmental and Occupational Health",109,66,47,0.489,0.294,Taylor & Francis
Merrill-Palmer Quarterly,1.7,"63.0%
155/426
Social Sciences (miscellaneous)",115,69,55,0.491,0.415,Wayne State University Press
Pastoral Care in Education,1.7,"51.0%
681/1406
Education",137,81,58,0.964,0.383,Taylor & Francis
Psychologica Belgica,1.7,"38.0%
129/209
General Psychology",164,94,56,0.715,0.459,Ubiquity Press
Qualitative Report,1.7,"88.0%
134/1127
Cultural Studies",1286,775,47,0.866,0.381,Nova Southeastern University
Revista Latinoamericana de Psicologia,1.7,"65.0%
148/426
Social Sciences (miscellaneous)",146,85,58,0.666,0.313,Konrad Lorenz Editores
Social Influence,1.7,"37.0%
185/296
Social Psychology",71,41,63,0.653,0.471,Taylor & Francis
Timing and Time Perception,1.7,"33.0%
153/230
Applied Psychology",135,79,52,0.629,0.394,Brill
"Zeitschrift fur Psychiatrie, Psychologie und Psychotherapie",1.7,"45.0%
161/292
Clinical Psychology",115,69,83,0.161,0.15,Hogrefe Publishing
Adoption & Fostering,1.6,"73.0%
211/801
Law",155,96,54,0.853,0.426,SAGE
Australasian Journal of Early Childhood,1.6,"49.0%
709/1406
Education",175,109,58,0.807,0.332,Early Childhood Australia
Canadian Journal of Experimental Psychology,1.6,"23.0%
116/150
Experimental and Cognitive Psychology",179,111,68,0.551,0.386,APA
Children's Health Care,1.6,"44.0%
163/292
Clinical Psychology",162,100,60,0.452,0.288,Taylor & Francis
Drugs and Alcohol Today,1.6,"44.0%
164/292
Clinical Psychology",186,116,56,0.438,0.261,Emerald Publishing
Education and Training in Autism and Developmental Disabilities,1.6,"50.0%
690/1406
Education",211,128,53,0.823,0.655,Council for Exceptional Children
Educational and Developmental Psychologist,1.6,"49.0%
715/1406
Education",87,55,84,0.555,0.214,Taylor & Francis
European Journal of Adapted Physical Activity,1.6,"49.0%
711/1406
Education",72,45,53,0.956,0.379,European Federation of Adapted Physical Activity
Gifted Education International,1.6,"49.0%
714/1406
Education",84,53,62,0.621,0.245,SAGE
Health and Social Care Chaplaincy,1.6,"96.0%
21/547
Religious Studies",96,61,75,0.501,0.195,Equinox Publishing Ltd
International Journal of Comparative Psychology,1.6,"37.0%
132/209
General Psychology",153,94,49,0.461,0.3,University of California eScholarship
International Journal of Dream Research,1.6,"36.0%
134/209
General Psychology",242,151,46,0.588,0.285,Central Institute of Mental Health
International Journal of Play Therapy,1.6,"53.0%
7/15
Complementary and Manual Therapy",135,87,62,0.93,0.308,APA
International Review of Research in Developmental Disabilities,1.6,"37.0%
330/529
Psychiatry and Mental Health",89,55,55,1.349,0.473,Elsevier
Journal for Specialists in Group Work,1.6,"33.0%
197/296
Social Psychology",120,77,69,0.747,0.354,Taylor & Francis
Journal of Counselor Leadership and Advocacy,1.6,"48.0%
717/1406
Education",79,50,68,0.455,0.351,Taylor & Francis
Journal of Intergenerational Relationships,1.6,"78.0%
64/289
Archeology",198,126,51,0.887,0.416,Taylor & Francis
Journal of Sexual Aggression,1.6,"36.0%
337/529
Psychiatry and Mental Health",150,96,66,0.625,0.415,Taylor & Francis
Journal of Sport and Health Research,1.6,"48.0%
717/1406
Education",327,207,52,0.303,0.211,Didactic Asociation Andalucia
Memory Studies,1.6,"87.0%
138/1127
Cultural Studies",381,236,51,1.789,0.445,SAGE
Personalized Medicine in Psychiatry,1.6,"44.0%
162/292
Clinical Psychology",98,60,50,0.289,0.321,Elsevier
Revista Colombiana de Psicologia,1.6,"63.0%
157/426
Social Sciences (miscellaneous)",116,71,59,0.748,0.265,Universidad Nacional de Colombia
Revista Iberoamericana de Diagnostico y Evaluacion Psicologica,1.6,"35.0%
135/209
General Psychology",358,224,55,0.614,0.265,Asociacion Iberoamericana de Diagnostico y Evaluacion
Spanish Journal of Psychology,1.6,"80.0%
187/968
Language and Linguistics",147,91,48,0.563,0.391,Cambridge University Press
The South African journal of communication disorders. Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings,1.6,"80.0%
191/968
Language and Linguistics",154,98,56,0.776,0.381,South African Speech And Hearing Association
Zeitschrift fur Sexualforschung,1.6,"35.0%
136/209
General Psychology",167,106,57,0.32,0.247,Thieme
Aloma,1.5,"46.0%
749/1406
Education",89,61,51,0.376,0.256,"Facultat de Psicologia, Ciencies de l'Educacio i de l'Esport Blanquerna"
American Journal of Psychoanalysis,1.5,"42.0%
168/292
Clinical Psychology",159,104,69,1.224,0.301,Springer Nature
Australasian Journal of Disaster and Trauma Studies,1.5,"30.0%
161/230
Applied Psychology",52,34,68,0.504,0.173,Massey University
Australian and New Zealand Journal of Family Therapy,1.5,"61.0%
513/1345
Sociology and Political Science",171,112,53,0.79,0.343,Wiley-Blackwell
Behavioral and Brain Sciences,1.5,"25.0%
49/65
Neuropsychology and Physiological Psychology",628,417,30,0.368,0.456,Cambridge University Press
Continuity in Education,1.5,"47.0%
739/1406
Education",27,18,61,2.205,N/A,Ubiquity Press
Eurasian Journal of Applied Linguistics,1.5,"78.0%
209/968
Language and Linguistics",148,102,73,0.807,0.29,Hacettepe University
European Journal of Psychology Open,1.5,"33.0%
139/209
General Psychology",77,53,62,N/A,N/A,Hogrefe Publishing
"Families, Systems and Health",1.5,"36.0%
339/529
Psychiatry and Mental Health",418,270,41,0.847,0.382,APA
Hispanic Journal of Behavioral Sciences,1.5,"86.0%
148/1127
Cultural Studies",170,110,55,0.85,0.373,SAGE
International Journal of Organization Theory and Behavior,1.5,"45.0%
105/190
Public Administration",123,80,61,0.71,0.302,Emerald Publishing
Journal of Constructivist Psychology,1.5,"78.0%
223/1032
Linguistics and Language",170,111,56,0.771,0.243,Taylor & Francis
Learning Disabilities,1.5,"48.0%
728/1406
Education",75,49,51,0.96,N/A,Learning Disabilities Worldwide (LDW)
Neuropsychological Trends,1.5,"23.0%
50/65
Neuropsychology and Physiological Psychology",58,39,46,0.331,N/A,LED Edizioni Universitarie
Open Psychology Journal,1.5,"34.0%
138/209
General Psychology",184,126,41,0.611,0.232,Bentham
Psicologia Conductual,1.5,"42.0%
168/292
Clinical Psychology",185,121,51,0.413,0.297,Fundacion VECA
Psicologia Sociale,1.5,"32.0%
201/296
Social Psychology",109,75,48,0.464,0.249,Il Mulino publishing house
Psychology and Neuroscience,1.5,"22.0%
51/65
Neuropsychology and Physiological Psychology",165,113,53,0.382,0.196,APA
Revista Espanola de Orientacion y Psicopedagogia,1.5,"47.0%
739/1406
Education",141,94,54,0.553,0.265,Asociacion Espanola de Orientacion y Psicopedagogia
Teaching Exceptional Children,1.5,"48.0%
731/1406
Education",196,129,53,1.073,0.49,SAGE
Terapia Psicologica,1.5,"42.0%
167/292
Clinical Psychology",124,81,51,0.652,0.282,Sociedad Chilena de Psicologia Clinica
Zeitschrift fur Kinder- und Jugendpsychiatrie und Psychotherapie,1.5,"41.0%
170/292
Clinical Psychology",353,236,50,0.547,0.279,Hogrefe Publishing
Ansiedad y Estres,1.4,"33.0%
350/529
Psychiatry and Mental Health",140,99,48,0.385,0.279,Spanish Society for the Study of Anxiety and Stress (SEAS)
British Journal of Special Education,1.4,"45.0%
767/1406
Education",126,88,53,0.851,0.456,Wiley-Blackwell
Canadian Journal of Human Sexuality,1.4,"40.0%
37/61
Psychology (miscellaneous)",177,123,55,0.767,0.42,University of Toronto Press
Emotions and Society,1.4,"84.0%
173/1127
Cultural Studies",37,27,67,1.994,0.226,Policy Press
Infancia y Aprendizaje,1.4,"44.0%
785/1406
Education",143,103,50,0.705,0.33,Taylor & Francis
International Journal of Aerospace Psychology,1.4,"45.0%
770/1406
Education",77,54,46,0.553,0.183,Taylor & Francis
International Journal of Children's Spirituality,1.4,"94.0%
28/547
Religious Studies",120,83,65,0.394,0.24,Taylor & Francis
International Journal of Play,1.4,"85.0%
166/1127
Cultural Studies",134,94,48,1.131,0.342,Taylor & Francis
International Journal of Psychological Research,1.4,"31.0%
143/209
General Psychology",96,69,49,0.543,0.283,Universidad de San Buenaventura
Intervention,1.4,"47.0%
21/39
Psychiatric Mental Health",156,113,53,0.582,0.311,Wolters Kluwer Health
Journal of College Reading and Learning,1.4,"76.0%
240/1032
Linguistics and Language",80,56,57,0.74,0.262,Taylor & Francis
Journal of College Student Psychotherapy,1.4,"41.0%
172/292
Clinical Psychology",126,90,63,0.548,0.262,Taylor & Francis
Journal of Creativity in Mental Health,1.4,"41.0%
171/292
Clinical Psychology",231,162,57,0.937,0.298,Taylor & Francis
Journal of Forensic Psychology Research and Practice,1.4,"32.0%
131/193
Pathology and Forensic Medicine",113,82,46,0.726,0.331,Taylor & Francis
Journal of Humanistic Counseling,1.4,"44.0%
777/1406
Education",76,54,61,0.467,0.319,Wiley-Blackwell
Journal of Psychology in Africa,1.4,"32.0%
141/209
General Psychology",519,369,49,0.467,0.244,Taylor & Francis
Mathematical Social Sciences,1.4,"58.0%
110/264
General Social Sciences",340,250,50,0.926,0.481,Elsevier
New Zealand Journal of Psychology,1.4,"32.0%
142/209
General Psychology",49,35,66,0.583,0.206,Christchurch New Zealand Psychological Society
Psicologica,1.4,"57.0%
160/376
Arts and Humanities (miscellaneous)",42,29,59,0.27,0.287,Universitat de Valencia
Psychology of Language and Communication,1.4,"77.0%
218/968
Language and Linguistics",82,59,56,0.755,0.273,University of Warsaw
Publicaciones de la Facultad de Educacion y Humanidades del Campus de Melilla,1.4,"43.0%
795/1406
Education",251,185,46,0.678,0.301,Universidad de Granada
Qualitative Research in Education,1.4,"55.0%
168/376
Arts and Humanities (miscellaneous)",68,49,51,0.675,0.239,Hipatia Press
Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,1.4,"31.0%
203/296
Social Psychology",178,123,46,0.496,0.234,Asociacion Canaria de Psicologia del Deporte
Revista Mexicana de Psicologia,1.4,"33.0%
140/209
General Psychology",57,40,40,0.512,0.207,Sociedad Mexicana de Psicologia
Revue Europeenne de Psychologie Appliquee,1.4,"28.0%
166/230
Applied Psychology",154,109,57,0.789,0.377,Elsevier
Siglo Cero,1.4,"52.0%
19/39
Psychiatric Mental Health",136,94,46,0.534,0.219,University of Salamanca
Zeitschrift fur Arbeits- und Organisationspsychologie,1.4,"27.0%
154/213
Organizational Behavior and Human Resource Management",93,68,53,0.465,0.361,Hogrefe Publishing
Acta Neuropsychologica,1.3,"25.0%
171/230
Applied Psychology",160,122,38,0.497,0.231,MedSport Press
Advances in Cognitive Psychology,1.3,"37.0%
184/292
Clinical Psychology",138,110,49,0.584,0.371,"University of Economics and Human Sciences, Warsaw"
American Annals of the Deaf,1.3,"42.0%
811/1406
Education",145,110,51,1.261,0.237,Gallaudet University Press
Behavioral Interventions,1.3,"54.0%
171/376
Arts and Humanities (miscellaneous)",267,198,44,0.87,0.48,Wiley-Blackwell
Bordon,1.3,"42.0%
802/1406
Education",204,153,52,0.476,0.295,Sociedad Espanola de Pedagogia
Child and Family Behavior Therapy,1.3,"56.0%
184/426
Social Sciences (miscellaneous)",67,50,52,0.599,0.302,Taylor & Francis
Clinica y Salud,1.3,"37.0%
183/292
Clinical Psychology",92,72,53,0.783,0.331,Colegio Oficial de Psicólogos de Madrid
European Journal of Health Psychology,1.3,"40.0%
175/292
Clinical Psychology",47,35,43,0.37,0.207,Hogrefe Publishing
Giornale Italiano di Psicologia,1.3,"28.0%
149/209
General Psychology",411,327,36,0.212,0.171,Societa Editrice Il Mulino
Health and Addictions / Salud y Drogas,1.3,"37.0%
202/323
Health (social science)",157,120,45,0.27,0.206,"Instituto de Investigacion de Drogodependencias, Universidad Miguel Hernandez"
History of Psychology,1.3,"91.0%
128/1499
History",137,105,50,1.087,0.305,APA
Human Arenas,1.3,"55.0%
189/426
Social Sciences (miscellaneous)",189,145,61,0.617,0.198,Springer Nature
Humanities and Social Sciences Communications,1.3,"92.0%
13/158
General Arts and Humanities",609,456,40,1.289,0.419,Springer Nature
International Journal of Psychoanalysis,1.3,"37.0%
182/292
Clinical Psychology",348,270,47,1.489,1.097,Taylor & Francis
Journal of Behavioral Science,1.3,"29.0%
210/296
Social Psychology",101,77,47,0.498,0.209,Srinakharinwirot University-Behavioral Science Research Institute
Journal of Children's Services,1.3,"66.0%
271/801
Law",106,83,59,0.625,0.255,Emerald Publishing
Journal of Cognition and Culture,1.3,"84.0%
175/1127
Cultural Studies",126,94,46,0.486,0.353,Brill
Journal of Education and e-Learning Research,1.3,"41.0%
821/1406
Education",166,130,40,0.87,0.274,Asian Online Journal Publishing Group
Journal of Gambling Issues,1.3,"38.0%
180/292
Clinical Psychology",154,118,45,0.586,0.293,CDS Press
Journal of Poetry Therapy,1.3,"46.0%
69/129
Rehabilitation",107,80,51,0.898,0.23,Taylor & Francis
Journal of Psychologists and Counsellors in Schools,1.3,"41.0%
817/1406
Education",91,70,47,0.477,0.259,Cambridge University Press
Journal of the American Psychoanalytic Association,1.3,"53.0%
175/376
Arts and Humanities (miscellaneous)",219,168,41,1.301,0.453,SAGE
Journal of Youth Development,1.3,"27.0%
249/341
Developmental and Educational Psychology",246,189,61,0.818,0.3,"University Library System, University of Pittsburgh"
"Korean Journal of Physical, Multiple and Health Disabilities",1.3,"42.0%
806/1406
Education",162,122,61,0.462,0.123,Seorim
Nebraska Symposium on Motivation,1.3,"28.0%
213/296
Social Psychology",28,22,36,N/A,N/A,Springer Nature
NeuroRegulation,1.3,"32.0%
359/529
Psychiatry and Mental Health",89,66,47,0.442,0.211,International Society for Neurofeedback & Research
"Nevrologiya, Neiropsikhiatriya, Psikhosomatika",1.3,"38.0%
179/292
Clinical Psychology",622,474,43,0.313,0.15,Ima-Press Publishing House
Preventing School Failure,1.3,"43.0%
800/1406
Education",185,138,51,0.635,0.349,Taylor & Francis
Psicologia della Salute,1.3,"36.0%
204/323
Health (social science)",130,102,44,0.241,0.202,Franco Angeli Edizioni
Psicoperspectivas,1.3,"55.0%
118/264
General Social Sciences",180,140,56,0.919,0.296,Pontificia Universidad Catolica de Valparaiso
Psychological Science and Education,1.3,"41.0%
829/1406
Education",239,191,49,1.003,0.301,Moscow State University of Psychology and Education
Psychological Studies,1.3,"29.0%
148/209
General Psychology",231,181,48,0.46,0.328,Springer Nature
Psychology in Russia: State of the Art,1.3,"42.0%
815/1406
Education",257,196,57,0.584,0.231,"Faculty of Psychology, Lomonosov Moscow State University"
Sexologies,1.3,"36.0%
120/188
Obstetrics and Gynecology",200,155,44,0.553,0.226,Elsevier
Subjectivity,1.3,"28.0%
212/296
Social Psychology",83,64,47,0.888,0.3,Springer Nature
The American Journal of Family Therapy,1.3,"39.0%
178/292
Clinical Psychology",160,121,55,0.69,0.298,Taylor & Francis
Zeitschrift fur Sportpsychologie,1.3,"38.0%
135/218
Physical Therapy, Sports Therapy and Rehabilitation",60,48,56,0.386,0.176,Hogrefe Publishing
Adultspan Journal,1.2,"24.0%
259/341
Developmental and Educational Psychology",39,33,67,0.457,0.238,Wiley-Blackwell
Annee Psychologique,1.2,"51.0%
183/376
Arts and Humanities (miscellaneous)",81,70,37,0.667,0.351,Editions NecPlus
Archives of Psychiatry and Psychotherapy,1.2,"34.0%
191/292
Clinical Psychology",157,135,47,0.259,0.202,Polskie towarzystwo Psychiatryczne
Central European Management Journal,1.2,"60.0%
241/608
Political Science and International Relations",118,96,43,0.572,0.227,Walter de Gruyter
Children Australia,1.2,"54.0%
616/1345
Sociology and Political Science",120,100,45,0.315,0.214,Cambridge University Press
Clinical Case Studies,1.2,"34.0%
191/292
Clinical Psychology",143,123,51,0.335,0.214,SAGE
Cognitive Computation and Systems,1.2,"22.0%
577/747
Computer Science Applications",22,18,61,0.433,N/A,Institution of Engineering and Technology
Computers in Human Behavior Reports,1.2,"24.0%
24/31
Neuroscience (miscellaneous)",161,130,42,1.541,N/A,Elsevier
Counseling Psychology and Psychotherapy,1.2,"34.0%
212/323
Health (social science)",174,150,40,0.61,0.304,Moscow State University of Psychology and Education
Couple and Family Psychology: Research and Practice,1.2,"36.0%
187/292
Clinical Psychology",86,71,52,0.796,0.309,APA
Creativity,1.2,"93.0%
41/584
Visual Arts and Performing Arts",97,78,44,0.384,0.258,Walter de Gruyter
Current Issues in Personality Psychology,1.2,"26.0%
217/296
Social Psychology",158,128,45,0.459,0.298,Termedia Publishing House Ltd.
Dog Behavior,1.2,"44.0%
10/17
Small Animals",62,52,33,0.342,0.241,Edizioni ETS
ETS Research Report Series,1.2,"38.0%
871/1406
Education",170,147,46,0.739,0.341,Wiley-Blackwell
Family Journal,1.2,"55.0%
192/426
Social Sciences (miscellaneous)",261,212,50,0.739,0.292,SAGE
Gesture,1.2,"81.0%
207/1127
Cultural Studies",52,45,42,0.528,0.231,John Benjamins Publishing Company
Global Studies of Childhood,1.2,"54.0%
619/1345
Sociology and Political Science",127,107,48,0.755,0.28,SAGE
Humanistic Psychologist,1.2,"25.0%
221/296
Social Psychology",139,114,66,0.98,0.265,APA
Journal for Person-Oriented Research,1.2,"30.0%
43/61
Psychology (miscellaneous)",29,24,42,0.277,0.443,Lundh Research Foundation
Journal of Addictions and Offender Counseling,1.2,"63.0%
291/801
Law",37,32,38,0.851,0.285,Wiley-Blackwell
