PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Ferris, Lindsey M.; Saloner, Brendan; Jackson, Kate; Lyons, B. Casey; Murthy, Vijay; Kharrazi, Hadi; Latimore, Amanda; Stuart, Elizabeth A.; Weiner, Jonathan P.								Performance of a Predictive Model versus Prescription-Based Thresholds in Identifying Patients at Risk of Fatal Opioid Overdose								SUBSTANCE USE & MISUSE				56	3			396	403		10.1080/10826084.2020.1868520			DEC 25 2020	2020	Background: Prescription Drug Monitoring Programs (PDMPs) collect controlled substance prescriptions dispensed within a state. Many PDMP programs perform targeted outreach (i.e., "unsolicited reporting") for patients who exceed numerical thresholds, however, the degree to which patients at highest risk of fatal opioid overdose are identified has not been compared with one another or with a predictive model. Methods: A retrospective analysis was performed using statewide PDMP data for Maryland residents aged 18 to 80 years with an opioid fill between April to June 2015. The outcome was opioid-related overdose death in 2015 or 2016. A multivariable logistic regression model and three PDMP thresholds were evaluated: (1) multiple provider episodes; (2) high daily average morphine milligram equivalents (MME); and (3) overlapping opioid and benzodiazepine prescriptions. Results: The validation cohort consisted of 170,433 individuals and 244 deaths. The predictive model captured more individuals who died (46.3% of total deaths) and had a higher death rate (7.12 per 1000) when the risk score cutoff (0.0030) was selected for a comparable size of high-risk individuals (n = 15,881) than those meeting the overlapping opioid/benzodiazepine prescriptions (n = 17,440; 33.2% of total deaths; 4.64 deaths per 1000) and high MME (n = 14,675; 24.6% of total deaths; 4.09 deaths per 1000) thresholds. Conclusions: The predictive model identified more individuals at risk of fatal opioid overdose as compared with PDMP thresholds commonly used for unsolicited reporting. PDMP programs could improve their targeting of unsolicited reports to reach more individuals at risk of overdose by using predictive models instead of simple threshold-based approaches.		[Ferris, Lindsey M.; Saloner, Brendan; Kharrazi, Hadi; Stuart, Elizabeth A.; Weiner, Jonathan P.] Johns Hopkins Bloomberg Sch Publ Hlth, Dept Hlth Policy & Management, Baltimore, MD USA; [Ferris, Lindsey M.] Chesapeake Reg Informat Syst Our Patients, Baltimore, MD USA; [Saloner, Brendan; Stuart, Elizabeth A.] Johns Hopkins Bloomberg Sch Publ Hlth, Dept Mental Hlth, Baltimore, MD USA; [Jackson, Kate; Lyons, B. Casey; Murthy, Vijay] Off Provider Engagement & Regulat Baltimore, Publ Hlth Serv, Maryland Dept Hlth, Baltimore, MD USA; [Kharrazi, Hadi] Johns Hopkins Sch Med, Baltimore, MD USA; [Kharrazi, Hadi; Weiner, Jonathan P.] Johns Hopkins Ctr Populat Hlth Informat Technol, Baltimore, MD USA; [Latimore, Amanda] Johns Hopkins Dept Epidemiol, Baltimore, MD USA; [Stuart, Elizabeth A.] Johns Hopkins Dept Biostat, Baltimore, MD USA; [Ferris, Lindsey M.] CRISP, 7160 Columbia Gateway Dr,Suite 100, Columbia, MD 21046 USA								1							Substance Abuse; Psychiatry; Psychology	WOS:000607728900001		
J	Austin, Anna E.; Naumann, Rebecca B.; Figgatt, Mary C.; Aiello, Allison E.								Adolescent and Adult Correlates of Prescription Opioid Use and Misuse in Adulthood: Associations Across Domains of Despair								SUBSTANCE USE & MISUSE				56	3			404	415		10.1080/10826084.2020.1868521			DEC 25 2020	2020	Objective: Given continued increases in "deaths of despair", there is a need to examine associations of factors across multiple domains of despair (i.e. cognitive, emotional, behavioral, biological) with opioid-related behaviors. An understanding of current and early life correlates of prescription opioid behaviors can help inform clinical care, public health interventions, and future life course research. Methods: Using data from Waves I (1994-1995; participants ages 12-18 years) and V (2016-2018; participants ages 34-42 years) of the National Longitudinal Study of Adolescent to Adult Health (N = 10,685), we examined adolescent and adult demographic, mental and physical health, substance use, and behavioral characteristics associated with past 30-day prescription opioid use only, misuse only, and both use and misuse to no recent use or misuse in adulthood. Results: Overall, 2.3% of adult participants reported past 30-day prescription opioid use only, 6.3% reported past 30-day misuse only, and 1.3% reported both prescribed use and misuse in the past 30 days. Physical health conditions in adolescence and adulthood were most common among those reporting use only and both use and misuse. Mental health conditions, other substance use, and delinquent behaviors in adolescence and adulthood were most common among those reporting misuse only and both use and misuse. Conclusions: Results from this nationally representative sample highlight the prevalence of specific prescription opioid behaviors and underscore the importance of targeting underlying drivers of prescription opioid use and misuse early in the life course. Continued implementation individual- and population-level approaches will be critical to addressing continued demand for opioids.		[Austin, Anna E.] Univ N Carolina, Gillings Sch Global Publ Hlth, Dept Maternal & Child Hlth, Chapel Hill, NC 27515 USA; [Austin, Anna E.; Naumann, Rebecca B.; Figgatt, Mary C.] Univ N Carolina, Injury Prevent Res Ctr, Chapel Hill, NC 27515 USA; [Naumann, Rebecca B.; Figgatt, Mary C.; Aiello, Allison E.] Univ N Carolina, Gillings Sch Global Publ Hlth, Dept Epidemiol, Chapel Hill, NC 27515 USA; [Aiello, Allison E.] Univ N Carolina, Carolina Populat Ctr, Chapel Hill, NC 27515 USA; [Austin, Anna E.] Univ N Carolina, Dept Maternal & Child Hlth, 421 Pittsboro St,CB 7445, Chapel Hill, NC 27515 USA								0							Substance Abuse; Psychiatry; Psychology	WOS:000605428100001		
J	Begus, Katarina; Curioni, Arianna; Knoblich, Guenther; Gergely, Gyorgy								Infants understand collaboration: Neural evidence for 9-month-olds' attribution of shared goals to coordinated joint actions								SOCIAL NEUROSCIENCE				15	6			655	667		10.1080/17470919.2020.1847730			NOV 1 2020	2020	Interpreting others' actions as goal-directed, even when the actions are unfamiliar, is indispensable for social learning, and can be particularly important for infants, whose own action repertoire is limited. Indeed, young infants have been shown to attribute goals to unfamiliar actions as early as 3 months of age, but this ability appears restricted to actions performed by individuals. In contrast, attributing shared goals to actions performed by multiple individuals seems to emerge only in the second year of life. Considering the restrictions that this would impose on infants' understanding and learning from interactions in their environment, we reexamine this ability by introducing 9-month-old infants to simple joint actions, in which two agents coordinate their actions toward the same goal. To establish whether infants formed an expectation about future actions of these agents, infants' cortical activity was measured using functional near-infrared spectroscopy (fNIRS). The hemodynamic response, recorded in (p)STS, indicated that infants attributed goals to simultaneous and coordinated joint actions of two individuals. Thus, even prior to actively engaging in collaborative activities themselves, infants can attribute shared goals to observed joint actions, enabling infants to learn from, and about, the complementary roles of social interactions, a central characteristic of human culture.		[Begus, Katarina; Curioni, Arianna; Knoblich, Guenther; Gergely, Gyorgy] Cent European Univ, Dept Cognit Sci, Budapest, Hungary; [Begus, Katarina] Cent European Univ, Dept Cognit Sci, Budapest, Hungary								2							Neurosciences; Psychology	WOS:000600759300001		
J	Christian, W. Jay; Walker, Courtney J.								Estimating the Population Attributable Fraction of Asthma Due to Electronic Cigarette Use and Other Risk Factors Using Kentucky Behavioral Risk Factor Survey Data, 2016-2017								SUBSTANCE USE & MISUSE				56	3			353	358		10.1080/10826084.2020.1868002			DEC 24 2020	2020	Introduction: Electronic nicotine delivery systems ENDS have become popular in the United States among both new users of nicotine and those seeking less harmful alternatives to traditional cigarettes. Users often perceive ENDS as being less harmful than traditional cigarettes. This study investigated the relationship between use of ENDS and asthma in a representative sample of adults. Methods: For this cross-sectional study, we used data from the Kentucky Behavioral Risk Factor Surveillance System telephone survey data from 2016-2017. Using a weighted multivariable logistic regression analysis, we identified important covariates to adjust for to calculate the population attributable fraction (PAF) of asthma due to ENDS and other modifiable risk factors factors (cigarette use, obesity, education, and employment). The confidence intervals for the PAFs were estimated using bootstrap methods of variance estimation. Results: We found that 10.6% of those aged 18-30 reported currently had asthma. After adjusting for noted covariates, ENDS use did not significantly increase the odds of asthma. In the final PAF model, the PAF of asthma due to ENDS was 0.4% (95% CI: -5.41, 6.21). Conclusion: While these findings suggest only modest effects of ENDS use on asthma prevalence, future research including older age groups and more long-term users might produce different results.		[Christian, W. Jay; Walker, Courtney J.] Univ Kentucky, Coll Publ Hlth, Dept Epidemiol, 111 Washington Ave,211B, Lexington, KY 40536 USA; [Christian, W. Jay] Univ Kentucky, Coll Publ Hlth, Dept Epidemiol, 111 Washington Ave,211B, Lexington, KY 40536 USA								2							Substance Abuse; Psychiatry; Psychology	WOS:000608323800001		
J	Noel, Jonathan K.; Lakhan, Haleigh A.								Changing Alcohol Cravings Using Social Media Comments								SUBSTANCE USE & MISUSE				56	3			377	387		10.1080/10826084.2020.1868518			DEC 24 2020	2020	Background: Alcohol marketing has proliferated on social media. When exposed to social media advertisements, users view comments written in response to the ad and user engagement metrics, in addition to the ad itself. Here, the independent effect of different types of comments on alcohol craving was assessed. Methods: In all, n = 722 participants were randomized to view either no comments, pro-drinking comments, anti-drinking comments, warning labels, or industry responsibility messages associated with six alcohol ads. Alcohol cravings, measured using the Desires for Alcohol Questionnaire (DAQ), were assessed before and after ad exposure. Smoking urges were also assessed. The significance of main effects was determined using repeated-measures ANCOVA. Results: Warning labels significantly decreased scores on the desires and intentions to drink DAQ sub-scale (p = .025) and decreased smoking urges (p = .024). Pro-drinking comments significantly increased scores on the control of drinking sub-scale (p = .006). Conclusions: The findings suggest that user-generated comments can influence the desire to drink and smoking urges, beyond the effects of ads themselves. If so, alcohol warning labels may decrease alcohol cravings when used in this way. Additionally, to limit the loss of control over drinking, the ability of social media users to post pro-drinking comments may need to be curtailed.		[Noel, Jonathan K.; Lakhan, Haleigh A.] Johnson & Wales Univ, Coll Hlth & Wellness, Dept Hlth Sci, Providence, RI USA; [Noel, Jonathan K.] Johnson & Wales Univ, Dept Hlth Sci, 8 Abbott Pk Pl, Providence, RI 02903 USA								3							Substance Abuse; Psychiatry; Psychology	WOS:000606732100001		
J	Novak, Priscilla; Sanmartin, Maria X.; Ali, Mir M.								Geolocation of Maryland Medical Marijuana Dispensaries by Community Income and Racial Characteristics: An Ecological Design								SUBSTANCE USE & MISUSE				56	2			318	326		10.1080/10826084.2020.1868516			DEC 24 2020	2020	Background: Prior investigations have documented disparities in the supply side of Maryland's Medical Marijuana program. Initially a disproportionate share of licenses to cultivate and distribute medical marijuana were awarded to Non-Hispanic White owned businesses. The state has implemented measures to ameliorate the inequity by prioritizing license awards to qualified minority owned businesses. Objectives: The objective of this study is to examine the racial and income characteristics of communities where licensed dispensaries are located. We quantify the racial and income characteristics of communities where Maryland medical cannabis dispensaries are located and explore whether Maryland medical marijuana dispensaries disproportionately locate in high-income, majority-White zip codes. Method: Using data from the Maryland Medical Cannabis Commission and the American Communities Survey, we create geocodes for each of the operating dispensaries as of December 2019. We examine the distribution of medical cannabis dispensaries by zip code level household income and zip code level racial distribution. The data set encompasses 85 operating cannabis dispensaries in Maryland and 6.1 million Marylanders distributed across 468 zip codes in 2018-2019. Results: The analysis indicates that dispensaries are concentrated in zip codes whose residents are racially diverse, and with higher concentrations of retail establishments. Conclusion: Community level racial or income disparities in access to medical cannabis were not observed in Maryland. Access to medical cannabis, based on ability to pay out of pocket for the product, may be uneven.		[Novak, Priscilla; Ali, Mir M.] Univ Maryland, Sch Publ Hlth, Dept Hlth Policy & Management, College Pk, MD 20742 USA; [Sanmartin, Maria X.] Hofstra Univ, Sch Hlth Profess, Hempstead, NY 11550 USA; [Novak, Priscilla] Univ Maryland, Sch Publ Hlth, Dept Hlth Policy & Management, College Pk, MD 20742 USA								0							Substance Abuse; Psychiatry; Psychology	WOS:000607090200001		
J	Choinski, Mateusz; Szelag, Elzbieta; Wolak, Tomasz; Szymaszek, Aneta								Working Memory in Aphasia: The Role of Temporal Information Processing								FRONTIERS IN HUMAN NEUROSCIENCE				14						589802	10.3389/fnhum.2020.589802			DEC 23 2020	2020	Aphasia is an acquired impairment of language functions resulting from a brain lesion. It is usually accompanied by deficits in non-linguistic cognitive processes. This study aimed to investigate in patients with aphasia the complex interrelationships between selected cognitive functions: auditory speech comprehension, working memory (WM), and temporal information processing (TIP) in the millisecond time range. Thirty right-handed subjects (20 males) aged from 27 to 82 years suffering from post-stroke aphasia participated in the study. Verbal working memory (VWM) and spatial working memory (SWM) were assessed with: (1) a receptive verbal test and (2) the Corsi Block-Tapping Test, respectively. Both these WM tests used the forward tasks (mainly engaging maintenance processes, i.e., storing, monitoring, and matching information) and backward tasks (engaging both maintenance and manipulation processes, i.e., reordering and updating information). Auditory comprehension was assessed by receptive language tests, and TIP efficiency was assessed by auditory perception of temporal order in the millisecond time range. We observed better performance of forward WM tasks than backward ones, independently of the type of material used. Furthermore, the severity of auditory comprehension impairment correlated with the efficiency on both forward and backward VWM tasks and the backward SWM task. Further analysis revealed that TIP plays a crucial role only in the latter task. These results indicate the divergent pattern of interactions between WM and TIP depending on the type of WM tasks. Level of verbal competency appeared to play an important role in both VWM tasks, whereas TIP (which is associated with manipulation processes) appeared to be important for SWM, but only on the backward task.		[Choinski, Mateusz; Szelag, Elzbieta; Szymaszek, Aneta] Polish Acad Sci, Nencki Inst Expt Biol, Lab Neuropsychol, Warsaw, Poland; [Wolak, Tomasz] World Hearing Ctr, Inst Physiol & Pathol Hearing, Bioimaging Res Ctr, Kajetany, Poland; [Szymaszek, Aneta] Polish Acad Sci, Nencki Inst Expt Biol, Lab Neuropsychol, Warsaw, Poland								5							Neurosciences; Psychology	WOS:000605957800001		
J	Dong, Xue; Du, Xinxin; Bao, Min								Repeated Contrast Adaptation Does Not Cause Habituation of the Adapter								FRONTIERS IN HUMAN NEUROSCIENCE				14						589634	10.3389/fnhum.2020.589634			DEC 23 2020	2020	Adaptation can optimize information processing by allowing the visual system to always adjust to the environment. However, only a few studies have investigated how the visual system makes adjustments to repeatedly occurring changes in the input, still less about the related neural mechanism. Our previous study found that contrast adaptation attenuated after multiple daily sessions of repeated adaptation, which was explained by the habituation of either the adapter's effective strength or the adaptation mechanisms. To examine the former hypothesis, in the present study we used the frequency tagging technique to measure the adapter-elicited steady-state visual evoked potential (SSVEP) amplitudes. Participants repeatedly adapted to the same contrast adapter in a top-up manner for six continuous days, which was called training of adaptation. The behavioral adaptation effect and SSVEP response to the trained adapter and an untrained control adapter were measured before and after training. The psychophysical results showed that the effect of adaptation in the trained condition significantly reduced after training, replicating our previous finding. Contradicting the prediction of the hypothesis that repeated adaptation attenuated the effective strength of the adapter, the SSVEP amplitude was unchanged after training, which was further confirmed by an equivalence test. Taken together, the results challenge the account of habituation of adapter in repeated adaptation, while leaving the account of habituation of adaptation mechanism to be tested.		[Dong, Xue; Du, Xinxin; Bao, Min] Chinese Acad Sci, Inst Psychol, CAS Key Lab Behav Sci, Beijing, Peoples R China; [Dong, Xue; Du, Xinxin; Bao, Min] Univ Chinese Acad Sci, Dept Psychol, Beijing, Peoples R China; [Bao, Min] Chinese Acad Sci, Inst Psychol, State Key Lab Brain & Cognit Sci, Beijing, Peoples R China; [Dong, Xue] Chinese Acad Sci, Inst Psychol, CAS Key Lab Behav Sci, Beijing, Peoples R China; [Dong, Xue] Univ Chinese Acad Sci, Dept Psychol, Beijing, Peoples R China								1							Neurosciences; Psychology	WOS:000604927100001		
J	Yao, Yuzhao; Jia, Xiuqin; Luo, Jun; Chen, Feiyan; Liang, Peipeng								Involvement of the Right Dorsolateral Prefrontal Cortex in Numerical Rule Induction: A Transcranial Direct Current Stimulation Study								FRONTIERS IN HUMAN NEUROSCIENCE				14						566675	10.3389/fnhum.2020.566675			DEC 23 2020	2020	Numerical inductive reasoning has been considered as one of the most important higher cognitive functions of the human brain. Importantly, previous behavioral studies have consistently reported that one critical component of numerical inductive reasoning is checking, which often occurs when a discrepant element is discovered, and reprocessing is needed to determine whether the discrepancy is an error of the original series. However, less is known about the neural mechanism underlying the checking process. Given that the checking effect involves cognitive control processes, such as the incongruent resolution, that are linked to the right dorsolateral prefrontal cortex (DLPFC), this study hypothesizes that the right DLPFC may play a specific role in the checking process. To test the hypothesis, this study utilized the transcranial direct current stimulation (tDCS), a non-invasive brain stimulation method that could modulate cortical excitability, and examined whether and how the stimulation of the right DLPFC via tDCS could modulate the checking effect during a number-series completion problem task. Ninety healthy participants were allocated to one of the anodal, cathodal, and sham groups. Subjects were required to verify whether number sequences formed rule-based series, and checking effect was assessed by the difference in performance between invalid and valid conditions. It was found that significantly longer response times (RTs) were exhibited in invalid condition compared with valid condition in groups of anodal, cathodal, and sham tDCS. Furthermore, the anodal tDCS significantly shortened the checking effect than those of the cathodal and sham groups, whereas no significantly prolonged checking effect was detected in the cathodal group. The current findings indicated that anodal tDCS affected the process of checking, which suggested that the right DLPFC might play a critical role in the checking process of numerical inductive reasoning by inhibiting incongruent response.		[Yao, Yuzhao; Chen, Feiyan] Zhejiang Univ, Dept Phys, Bio X Lab, Hangzhou, Peoples R China; [Jia, Xiuqin] Capital Med Univ, Beijing Chaoyang Hosp, Dept Radiol, Beijing, Peoples R China; [Luo, Jun] Zhejiang Univ Finance & Econ, Ctr Econ Behav & Decisionmaking CEBD, Hangzhou, Peoples R China; [Luo, Jun] Zhejiang Univ Finance & Econ, Sch Econ, Hangzhou, Peoples R China; [Liang, Peipeng] Capital Normal Univ, Beijing Key Lab Learning & Cognit, Sch Psychol, Beijing, Peoples R China; [Chen, Feiyan] Zhejiang Univ, Dept Phys, Bio X Lab, Hangzhou, Peoples R China; [Liang, Peipeng] Capital Normal Univ, Beijing Key Lab Learning & Cognit, Sch Psychol, Beijing, Peoples R China								1							Neurosciences; Psychology	WOS:000604926300001		
J	Kober, Silvia Erika; Neuper, Christa; Wood, Guilherme								Differential Effects of Up- and Down-Regulation of SMR Coherence on EEG Activity and Memory Performance: A Neurofeedback Training Study								FRONTIERS IN HUMAN NEUROSCIENCE				14						606684	10.3389/fnhum.2020.606684			DEC 23 2020	2020	Modulating connectivity measures in EEG-based neurofeedback studies is assumed to be a promising therapeutic and training tool. However, little is known so far about its effects and trainability. In the present study, we investigated the effects of up- and down-regulating SMR (12-15 Hz) coherence by means of neurofeedback training on EEG activity and memory functions. Twenty adults performed 10 neurofeedback training sessions in which half of them tried to increase EEG coherence between Cz and CPz in the SMR frequency range, while the other half tried to down-regulate coherence. Up-regulation of SMR coherence led to between- and within-session changes in EEG coherence. SMR power increased across neurofeedback training sessions but not within training sessions. Cross-over training effects on baseline EEG measures were also observed in this group. Up-regulation of SMR coherence was also associated with improvements in memory functions when comparing pre- and post-test results. Participants were not able to down-regulate SMR coherence. This group did not show any changes in baseline EEG measures or memory functions comparing pre- and post-test. Our results provide insights in the trainability and effects of connectivity-based neurofeedback training and indications for its practical application.		[Kober, Silvia Erika; Neuper, Christa; Wood, Guilherme] Karl Franzens Univ Graz, Inst Psychol, Graz, Austria; [Kober, Silvia Erika; Neuper, Christa; Wood, Guilherme] BioTechMed Graz, Graz, Austria; [Kober, Silvia Erika] Karl Franzens Univ Graz, Inst Psychol, Graz, Austria; [Kober, Silvia Erika] BioTechMed Graz, Graz, Austria								5							Neurosciences; Psychology	WOS:000604937700001		
J	Ramon, Ceon; Holmes, Mark D.								Increased Phase Cone Turnover in 80-250 Hz Bands Occurs in the Epileptogenic Zone During Interictal Periods								FRONTIERS IN HUMAN NEUROSCIENCE				14						615744	10.3389/fnhum.2020.615744			DEC 23 2020	2020	We found that phase cone clustering patterns in EEG ripple bands demonstrate an increased turnover rate in epileptogenic zones compared to adjacent regions. We employed 256 channel EEG data collected in four adult subjects with refractory epilepsy. The analysis was performed in the 80-150 and 150-250 Hz ranges. Ictal onsets were documented with intracranial EEG recordings. Interictal scalp recordings, free of epileptiform patterns, of 240-s duration, were selected for analysis for each subject. The data was filtered, and the instantaneous phase was extracted after the Hilbert transformation. Spatiotemporal contour plots of the unwrapped instantaneous phase with 1.0 ms intervals were constructed using a montage layout of the 256 electrode positions. Stable phase cone patterns were selected based on criteria that the sign of spatial gradient did not change for a minimum of three consecutive time samples and the frame velocity was consistent with known propagation velocities of cortical axons. These plots exhibited increased dynamical formation and dissolution of phase cones in the ictal onset zones, compared to surrounding cortical regions, in all four patients. We believe that these findings represent markers of abnormally increased cortical excitability. They are potential tools that may assist in localizing the epileptogenic zone.		[Ramon, Ceon] Univ Washington, Dept Elect & Comp Engn, Seattle, WA 98195 USA; [Ramon, Ceon; Holmes, Mark D.] Univ Washington, Harborview Med Ctr, Reg Epilepsy Ctr, 325 9Th Ave, Seattle, WA 98104 USA; [Ramon, Ceon] Univ Washington, Dept Elect & Comp Engn, Seattle, WA 98195 USA; [Ramon, Ceon] Univ Washington, Harborview Med Ctr, Reg Epilepsy Ctr, 325 9Th Ave, Seattle, WA 98104 USA								2							Neurosciences; Psychology	WOS:000604935500001		
