"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,6/8/2023 19:38:28,AW,NEUROPSYCHOBIOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,12.329
"They have invited commentaries. They also state that ""All articles, except for Editorials and some Correspondence articles, are externally peer reviewed"", which suggests maybe they do accept PPC, but that it's just not listed as an article type.",8/6/2023 5:37:14,RTT,NEUROPSYCHOBIOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,12.329
NA,NA,FINAL (TEH),NEUROPSYCHOBIOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,12.329
NA,6/30/2023 11:53:04,AW,NEUROPSYCHOLOGY REVIEW,Yes,YES,Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Listed as an article type without further information,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",6.94
NA,8/31/2023 11:44:33,SV,NEUROPSYCHOLOGY REVIEW,Yes,"""Commentary"" article type is listed, but no information given, so probably shouldn't count",Commentary,None given,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Probably shouldn't count,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",6.94
NA,NA,FINAL (TEH),NEUROPSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",6.94
NA,7/1/2023 11:36:20,AW,NPJ SCIENCE OF LEARNING,Yes,YES,Matters Arising,"""Important scientific comments and clarifications on peer-reviewed articles published in npj Science of Learning may be submitted as Matters Arising.""

""Nature Portfolio journals acknowledge the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges, clarifications or in some cases, replication of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original npj Science of Learning authors.

Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in npj Science of Learning. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact npj Science of Learning for these cases.

In all cases, npj Science of Learning strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising and Replies are bidirectionally linked with the original published paper. npj Science of Learning does not consider Matters Arising on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.""","YES (copy and paste the limits in the 'other' section below), ideally not exceed 1,200 words.","UNCLEAR (provide detail in the 'other' section below), ""timely""","YES (provide number of references below), 15",YES,"""Contributions should have a simple message that ideally requires only one or two small figures or tables.""

""Supplementary Information is permitted at the editor's discretion.""

""To improve the transparency of reporting and the reproducibility of published results in certain other research areas, authors in certain disciplines may be asked to complete a reporting summary and provide the requested information prior to peer review.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, EXPERIMENTAL",5.513
NA,7/17/2023 17:18:34,AW,NPJ SCIENCE OF LEARNING,Yes,YES,Matters Arising,"Nature Portfolio journals acknowledge the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges, clarifications or in some cases, replication of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original npj Science of Learning authors.

Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in npj Science of Learning. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact npj Science of Learning for these cases.

In all cases, npj Science of Learning strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising and Replies are bidirectionally linked with the original published paper. npj Science of Learning does not consider Matters Arising on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.","YES (copy and paste the limits in the 'other' section below), 1200 words (main text)","YES (provide detail of time limits below), ""timely""","YES (provide number of references below), 15",YES,"""comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, EXPERIMENTAL",5.513
NA,8/29/2023 16:19:19,SV,NPJ SCIENCE OF LEARNING,Yes,YES,Matters arising,"Important scientific comments and clarifications on peer-reviewed articles published in npj Science of Learning may be submitted as Matters Arising. 
AND: 
Nature Portfolio journals acknowledge the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges, clarifications or in some cases, replication of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original npj Science of Learning authors.

Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in npj Science of Learning. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact npj Science of Learning for these cases.

In all cases, npj Science of Learning strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising and Replies are bidirectionally linked with the original published paper. npj Science of Learning does not consider Matters Arising on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.

","YES (copy and paste the limits in the 'other' section below), The main text should be as concise as possible, and ideally not exceed 1,200 words.",NOT STATED,"YES (provide number of references below), As a guideline, contributions may have up to 15 references;","UNCLEAR (provide detail in the 'other' section below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.  Matters Arising submissions that meet npj Science of Learning initial selection criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.","""Comments should ideally have been sent to the authors of the paper under discussion before submission to npj Science of Learning, so that disputes can be resolved directly whenever possible and points on which both parties agree removed from the submitted contribution. If an attempt to contact the original authors has been unsuccessful (for example, no response received after two weeks), this should be indicated at submission.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, EXPERIMENTAL",5.513
NA,8/31/2023 11:25:36,SV,NPJ SCIENCE OF LEARNING,Yes,YES,Matters arising,"Matters Arising
Important scientific comments and clarifications on peer-reviewed articles published in npj Science of Learning may be submitted as Matters Arising. 
[...]
Nature Portfolio journals acknowledge the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges, clarifications or in some cases, replication of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original npj Science of Learning authors.

Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in npj Science of Learning. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact npj Science of Learning for these cases.

In all cases, npj Science of Learning strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising and Replies are bidirectionally linked with the original published paper. npj Science of Learning does not consider Matters Arising on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.
[...]
Manuscripts (both Matters Arising and Replies) should be formatted according to these instructions.

The main text should be as concise as possible, and ideally not exceed 1,200 words.
Contributions should start with a brief paragraph that summarizes the message of the article without specialized terminology, for a non-specialist readership. This paragraph should be used as the abstract for submission purposes.
Contributions should have a simple message that ideally requires only one or two small figures or tables.
At submission, figures should be of sufficient quality to be assessed by referees, ideally as JPEGs.
As a guideline, contributions may have up to 15 references; reference style is as for Articles.
Supplementary Information is permitted at the editor's discretion.
A competing interests statement is required.
An author contributions statement is required.
To improve the transparency of reporting and the reproducibility of published results in certain other research areas, authors in certain disciplines may be asked to complete a reporting summary and provide the requested information prior to peer review. Further details on this can be found here.
[...]
n addition:

All contributions should be measured in tone, and should not contain inflammatory or otherwise intemperate language.
Comments should ideally have been sent to the authors of the paper under discussion before submission to npj Science of Learning, so that disputes can be resolved directly whenever possible and points on which both parties agree removed from the submitted contribution. If an attempt to contact the original authors has been unsuccessful (for example, no response received after two weeks), this should be indicated at submission.
Any correspondence should accompany the submission as an attachment clearly labelled as 'Correspondence with the npj Science of Learning authors'.
Editorial process
The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.

Matters Arising submissions that meet npj Science of Learning initial selection criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.

A Reply is published only when it adds to the debate, and not when it reiterates points already published. It should be confined to replying to the specific issue raised about the published paper.

Authors of the original npj Science of Learning publications must keep the information provided in Matters Arising confidential and must not use it for their own research or for any other purpose apart from replying to the comment.

We will not consider appeals against decisions not to publish Matters Arising unless the grounds for appeal consist of a previously overlooked and important scientific point and are clearly explained in these terms.

Matters Arising and their Replies are not subject to article processing charges.","YES (copy and paste the limits in the 'other' section below), The main text should be as concise as possible, and ideally not exceed 1,200 words.",NOT STATED,"YES (provide number of references below), As a guideline, contributions may have up to 15 references","UNCLEAR (provide detail in the 'other' section below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.","Interesting: ""Comments should ideally have been sent to the authors of the paper under discussion before submission to npj Science of Learning, so that disputes can be resolved directly whenever possible and points on which both parties agree removed from the submitted contribution. If an attempt to contact the original authors has been unsuccessful (for example, no response received after two weeks), this should be indicated at submission.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, EXPERIMENTAL",5.513
NA,NA,FINAL (TEH),NPJ SCIENCE OF LEARNING,Yes,YES,Matters Arising,"Nature Portfolio journals acknowledge the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges, clarifications or in some cases, replication of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original npj Science of Learning authors.

Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in npj Science of Learning. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact npj Science of Learning for these cases.

In all cases, npj Science of Learning strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising and Replies are bidirectionally linked with the original published paper. npj Science of Learning does not consider Matters Arising on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.","YES (copy and paste the limits in the 'other' section below), 1200 words (main text)","YES (provide detail of time limits below), ""timely""","YES (provide number of references below), 15",YES,"""comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, EXPERIMENTAL",5.513
NA,6/30/2023 21:27:51,AW,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.606
NA,8/29/2023 16:28:13,SV,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.606
NA,NA,FINAL (TEH),ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.606
NA,6/30/2023 21:34:18,AW,ORGANIZATIONAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.6
NA,8/31/2023 10:44:02,SV,ORGANIZATIONAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.6
NA,NA,FINAL (TEH),ORGANIZATIONAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.6
"Minimal information on Article Types, search using term ""comment"" did not produce any apparent PPC examples",6/29/2023 13:15:23,AW,ORGANIZATIONAL RESEARCH METHODS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",8.247
NA,8/31/2023 10:54:14,SV,ORGANIZATIONAL RESEARCH METHODS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",8.247
NA,NA,FINAL (TEH),ORGANIZATIONAL RESEARCH METHODS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",8.247
NA,7/3/2023 18:34:38,NM,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, SOCIAL",16.161
NA,5/15/2023 16:50:00,AW,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"The journal prioritizes manuscripts that present novel theoretical insights that emerge from a deep integration of previously-published empirical research.  This means that straightforward summaries of a single research lab’s body of work, or theory aimed at a very narrow set of scholars, does not meet our priorities.  Manuscripts relying on quantitative methods, such as meta-analyses and systematic reviews, must do more than summarize their findings, but also use those findings to substantially advance theory.  The journal does not publish methodological papers unless they make a direct and substantial contribution to theory.",NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, SOCIAL",16.161
NA,7/21/2023 17:39:57,NM,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, SOCIAL",16.161
NA,7/28/2023 10:43:23,TEH,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, SOCIAL",16.161
"The article types section says they only accept theoretical and conceptual reviews, but then they later state that they accept meta-analyses. I checked the two most recent issues and found that they published a meta-analysis, and thus decided to include this journal. We could also have excluded it, it's borderline.",8/4/2023 6:28:13,RTT,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, SOCIAL",16.161
NA,NA,FINAL (TEH),PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, SOCIAL",16.161
NA,7/1/2023 12:04:26,AW,PERSONNEL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.47
NA,8/6/2023 7:51:30,RTT,PERSONNEL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.47
NA,NA,FINAL (TEH),PERSONNEL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",5.47
"Found through archive search, not article types",6/9/2023 13:18:53,AW,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,Yes,YES,Commentary,none,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"PPC example article found using search term ""comment"" and filtering by 'Article Commentary'; https://journals.sagepub.com/doi/abs/10.1177/17456916211072830",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",11.621
NA,8/31/2023 11:35:31,SV,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,"Technically, one kind of article listed is ""Brief reports (1,000–1,500 words) of outstanding young scientists’ research"" but I'm not sure this refers to original empirical research, and I think it is more accurate to say that, overwhelmingly, this is not a journal that publishes empirical research",NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",11.621
NA,NA,FINAL (TEH),PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,Yes,ARCHIVE ONLY,Commentary,none,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"PPC example article found using search term ""comment"" and filtering by 'Article Commentary'; https://journals.sagepub.com/doi/abs/10.1177/17456916211072830",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",11.621
NA,6/30/2023 15:54:17,AW,PSYCHOLOGICAL ASSESSMENT,Yes,YES,Comment,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Not listed as an article type. Archive search using term ""comment"" returned several recent PPC results.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",6.083
NA,7/28/2023 11:26:23,TEH,PSYCHOLOGICAL ASSESSMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",6.083
NA,NA,FINAL (TEH),PSYCHOLOGICAL ASSESSMENT,Yes,ARCHIVE ONLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",6.083
NA,5/15/2023 15:27:17,AW,PSYCHOLOGICAL BULLETIN,Yes,YES,Annotations (web comment),Create [an annotation] by selecting some text and clicking the [quotation mark] button.,NOT STATED,NOT STATED,NOT STATED,NO,Appears to promote comments on specific sections of article text rather than overall article critique/commentary,YES (opens another page),Commentaries,"Psychological Bulletin traditionally publishes commentaries that are requested by the action editor in light of issues that arise during the review. These commentaries are brief, with the length set by the action editor but never exceeding half of the length of the original article.
The authors of the target article are then invited to write a response. The length of the response is also determined by the action editor and cannot exceed half of the length of the individual commentary/ies.
Both commentaries and responses have a strict timeline set by the action editor, which is typically one month. The response from the author/s of the target article ends the discussion in the context of Psychological Bulletin. After that point, authors are encouraged to submit related manuscripts to other scientific outlets.
Commentaries are not accepted for articles that are already in print.
Unsolicited commentaries may be submitted by authors only while accepted target articles are disseminated online. If submitted later, authors must present a strong rationale for considering a comment beyond the standard time frame. Such requests, however, are rarely granted, and authors should consider other outlets for unsolicited commentaries. Unsolicited commentaries are subject to the regular process of preliminary editorial review after which a commentary, if deemed appropriate, may be sent out for external peer review.
No commentaries are published without external review.","YES (copy and paste the limits in the 'other' section below), brief, with the length set by the action editor but never exceeding half of the length of the original article.","YES (copy and paste the limits in the 'other' section below), strict timeline set by the action editor, which is typically one month.",NOT STATED,"YES, No commentaries are published without external review.","PPC description given is journal policy on commentaries. Emphasises that while unsolicited critique is possible, it must provide strong rationale.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,23.027
